year,code,country,sex,value,highlighted
2016,ITA,Italy,Male,70.56580712449757,False
2016,ITA,Italy,Female,72.61837338389392,False
2017,ITA,Italy,Male,70.58075380530506,False
2017,ITA,Italy,Female,72.53544996384109,False
2018,ITA,Italy,Male,70.82535865850645,False
2018,ITA,Italy,Female,72.70532708311478,False
2019,ITA,Italy,Male,70.94078375641567,False
2019,ITA,Italy,Female,72.7318210203939,False
2020,ITA,Italy,Male,69.84513309146836,False
2020,ITA,Italy,Female,71.77530088641397,False
2021,ITA,Italy,Male,70.06651330910928,False
2021,ITA,Italy,Female,71.80513460795467,False
2022,ITA,Italy,Male,69.80418524939743,False
2022,ITA,Italy,Female,71.64673505801849,False
2023,ITA,Italy,Male,70.4480301896008,False
2023,ITA,Italy,Female,71.8913114537786,False
2000,JPN,Japan,Male,68.39669300620278,False
2000,JPN,Japan,Female,72.48060471447272,False
2001,JPN,Japan,Male,68.6442992060383,False
2001,JPN,Japan,Female,72.69665342204264,False
2002,JPN,Japan,Male,68.81919656297028,False
2002,JPN,Japan,Female,72.88276162137248,False
2003,JPN,Japan,Male,68.88310060920841,False
2003,JPN,Japan,Female,72.9748835542364,False
2004,JPN,Japan,Male,69.06285257151062,False
2004,JPN,Japan,Female,73.10174061060548,False
2005,JPN,Japan,Male,69.09004963941166,False
2005,JPN,Japan,Female,73.13730880668264,False
2006,JPN,Japan,Male,69.36664456588097,False
2006,JPN,Japan,Female,73.320954510743,False
2007,JPN,Japan,Male,69.50871624718691,False
2007,JPN,Japan,Female,73.41951117395772,False
2008,JPN,Japan,Male,69.6142967039261,False
2008,JPN,Japan,Female,73.47609804441048,False
2009,JPN,Japan,Male,69.82339031930402,False
2009,JPN,Japan,Female,73.66984455520074,False
2010,JPN,Japan,Male,69.84834957299053,False
2010,JPN,Japan,Female,73.63252933777156,False
2011,JPN,Japan,Male,69.78965105093707,False
2011,JPN,Japan,Female,73.36603445488177,False
2012,JPN,Japan,Male,70.13336907665742,False
2012,JPN,Japan,Female,73.77927795662065,False
2013,JPN,Japan,Male,70.31436485033849,False
2013,JPN,Japan,Female,73.90155083724115,False
2014,JPN,Japan,Male,70.50787389506763,False
2014,JPN,Japan,Female,74.03174190127551,False
2015,JPN,Japan,Male,70.68140698233661,False
2015,JPN,Japan,Female,74.144253075106,False
2016,JPN,Japan,Male,70.85727853827949,False
2016,JPN,Japan,Female,74.28501807440632,False
2017,JPN,Japan,Male,70.9600651508906,False
2017,JPN,Japan,Female,74.36452411573663,False
2018,JPN,Japan,Male,71.11224353715994,False
2018,JPN,Japan,Female,74.45030762601544,False
2019,JPN,Japan,Male,71.24379851417025,False
2019,JPN,Japan,Female,74.55757051092208,False
2020,JPN,Japan,Male,71.34367207650313,False
2020,JPN,Japan,Female,74.63119011598118,False
2021,JPN,Japan,Male,71.19993221352397,False
2021,JPN,Japan,Female,74.36639109952526,False
2022,JPN,Japan,Male,70.87618947605185,False
2022,JPN,Japan,Female,74.00402989441497,False
2023,JPN,Japan,Male,70.72435727859764,False
2023,JPN,Japan,Female,73.91699057218305,False
2000,KOR,South Korea,Male,63.54478482543749,False
2000,KOR,South Korea,Female,68.67904805288846,False
2001,KOR,South Korea,Male,64.06216492989809,False
2001,KOR,South Korea,Female,69.09689275079256,False
2002,KOR,South Korea,Male,64.45597826012862,False
2002,KOR,South Korea,Female,69.31123231665802,False
2003,KOR,South Korea,Male,64.88390225983093,False
2003,KOR,South Korea,Female,69.68271522651125,False
2004,KOR,South Korea,Male,65.31496728857825,False
2004,KOR,South Korea,Female,70.0827159082364,False
2005,KOR,South Korea,Male,65.79274193234195,False
2005,KOR,South Korea,Female,70.43615433373546,False
2006,KOR,South Korea,Male,66.23317825174442,False
2006,KOR,South Korea,Female,70.80834542803781,False
2007,KOR,South Korea,Male,66.59525054862847,False
2007,KOR,South Korea,Female,71.14769968000745,False
2008,KOR,South Korea,Male,66.9073069137476,False
2008,KOR,South Korea,Female,71.56000283836383,False
2009,KOR,South Korea,Male,67.21642193482975,False
2009,KOR,South Korea,Female,71.8798364575883,False
2010,KOR,South Korea,Male,67.41471462084803,False
2010,KOR,South Korea,Female,72.0862555533211,False
2011,KOR,South Korea,Male,67.74515286865007,False
2011,KOR,South Korea,Female,72.35037351142063,False
2012,KOR,South Korea,Male,67.98646450192385,False
2012,KOR,South Korea,Female,72.46773253690651,False
2013,KOR,South Korea,Male,68.38046118957027,False
2013,KOR,South Korea,Female,72.7102687772828,False
2014,KOR,South Korea,Male,68.69967687764533,False
2014,KOR,South Korea,Female,72.93346250079053,False
2015,KOR,South Korea,Male,68.96670301868063,False
2015,KOR,South Korea,Female,73.03430362515151,False
2016,KOR,South Korea,Male,69.26178390894354,False
2016,KOR,South Korea,Female,73.21905824056444,False
2017,KOR,South Korea,Male,69.52937851285652,False
2017,KOR,South Korea,Female,73.37704458802159,False
2018,KOR,South Korea,Male,69.70223435369203,False
2018,KOR,South Korea,Female,73.519422253017,False
2019,KOR,South Korea,Male,70.02439219623201,False
2019,KOR,South Korea,Female,73.74197865010872,False
2020,KOR,South Korea,Male,70.12217162421912,False
2020,KOR,South Korea,Female,73.70876885834811,False
2021,KOR,South Korea,Male,70.15045100005996,False
2021,KOR,South Korea,Female,73.64486190311676,False
2022,KOR,South Korea,Male,69.57720846593197,False
2022,KOR,South Korea,Female,72.94305703863522,False
2023,KOR,South Korea,Male,70.16320706467266,False
2023,KOR,South Korea,Female,73.40082945436447,False
2000,LTU,Lithuania,Male,57.94944218908129,True
2000,LTU,Lithuania,Female,65.66780651689065,True
2001,LTU,Lithuania,Male,57.8688914495191,True
2001,LTU,Lithuania,Female,65.71914120125318,True
2002,LTU,Lithuania,Male,57.864889277279055,True
2002,LTU,Lithuania,Female,65.83361160796352,True
2003,LTU,Lithuania,Male,57.84792860107393,True
2003,LTU,Lithuania,Female,65.94691574591394,True
2004,LTU,Lithuania,Male,57.74256158631698,True
2004,LTU,Lithuania,Female,65.9564676090582,True
2005,LTU,Lithuania,Male,57.4242604859611,True
2005,LTU,Lithuania,Female,65.89105639037484,True
2006,LTU,Lithuania,Male,57.18641087474671,True
2006,LTU,Lithuania,Female,65.86361401620177,True
2007,LTU,Lithuania,Male,57.28662122430725,True
2007,LTU,Lithuania,Female,66.01446052604051,True
2008,LTU,Lithuania,Male,57.80205530895759,True
2008,LTU,Lithuania,Female,66.24818456701412,True
2009,LTU,Lithuania,Male,58.51368975581492,True
2009,LTU,Lithuania,Female,66.58370689312042,True
